,,  Утверждаю                    проректор по образовательной деятельности КФУ  Д.А. Таюрский       Расписание занятий 1 семестр 2017-2018  Высшая школа ИТИС (бакалавры и магистры)                                              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11-701,11-702,11-703,11-704,11-705,11-706,11-707,11-708,11-709,11-601,11-602,11-603,11-604,11-605,11-606,11-607,11-608,11-501,11-502,11-503,11-504,11-505,11-506,11-507,11-508,11-401,11-402,11-403,11-404,11-405,11-406,11-407,11-408,11-711,11-712,11-713,11-721(р),11-611,11-612,, ,аудитории,
понедельник,08.30-10.00,"Иностранный язык (английский язык) 
   Макаев Х.Ф. 1404,  Баранова А.Р..1302 ,    Газетдинов Р.Р.1304,   Сигачева Н.А.1412,    Мельникова О.К. 1405,     Саляхова Г.И. 1301,   Исмагилова Г.К.1303.",,,,,,Дискретная математика Тапкин Д.Т. 1306,,Информатика Шамсутдинова К.С.1308,,,,,,,,,Управление качеством разработки информационных систем  Басырова Алсу Реизовна в 109 к 2 (9н.),,,,,,,,,,,,,,,,,,,,,,08.30-10.00,понедельник,,
,10.10-11.40,"Алгебра и геометрия   
Арсланов Марат Мирзаевич 
в 108 к.2",,,,,,,,,"Иностранный язык ( английский язык)  Саляхова Г.И.1301, Махмутова А.Н. 1302, ИсмагиловаГ.К.. 1303, Маршева Т.В. 1304, Сакаева Л.Р. Межлаука ауд.335, Шамсутдинова Э.Х. 1405, Мартынова Е.В. 1404, Сигачева 1412, Яхин М.А.1305 , Сабирова Р.Н. 1309",,,,,,,,Безопасность  жизнедеятельности  Купцова А.М. н.н.1306,Безопасность  жизнедеятельности  Купцова ч.н.1306,Экономика Мокичев С.Д.ч.н.1409,Программная инженерия Кугуракова В.В. 1408,,Теория информации и кодирования Голицына И.Н.1509,Теория информации и кодирования Малахов М.А.1307,Операционные системы Валиуллин Р.М.1308,,,,,,,,,,,,,,,10.10-11.40,,,1305-м.м.
,11.50-13.20,Дискретная математика Корнеева Н.Н.1301,История Ибрагимов Р.Р. н.н. 1302,Дискретная математика Зубков М.В.1303,Математический анализ Муллагалиев Э.А.1304,История Ибрагимов Р.Р. ч.н.1302,Математический анализ Махмутова Д.И.1405,,Алгебра и геометрия Зубкова С.К. в1305,,Информатика Абрамский М.М.1409,Теория вероятностей и математическая статистика Стребков Е.В.1310,Информатика Ференец А.А.1412 (,"Вычислительные системы, сети и телекоммуникации Максютин С.В.1404",Базы данных Салимов Р.Ф.1311 ,,,Информатика Марченко А.А.1309,Программная инженерия Кугуракова В.В. 1408,,Безопасность  жизнедеятельности  Купцова А.М. н.н.1306,Безопасность  жизнедеятельности  Купцова ч.н.1306,Теория информации и кодирования Голицына И.Н.1509,,,Теория информации и кодирования Малахов М.А.1307,,,,,,,,,,,,,,,11.50-13.20,,,
,13.40-15.10,История Ибрагимов Р.Р. н.н. 1302,Дискретная математика Корнеева Н.Н.1301,История Ибрагимов Р.Р. ч.н. 1302,Дискретная математика Зубков М.В.1303,Математический анализ Муллагалиев Э.А. 1304,Информатика Марченко А.А.1309,Математический анализ Махмутова Д.И.1405,Информатика Салимов Р.Ф.1311,Алгебра и геометрия Зубкова С.К. в1305,,Информатика Хасьянов А.Ф.1509 Не будет пар!,"Вычислительные системы, сети и телекоммуникации Максютин С.В.1404",Информатика Ференец А.А. 1412,,,Теория вероятностей и математическая статистика Стребков Е.В.1310,Базы данных Шамсутдинова К.С.1308 ( с 19.09 по втр. в 8.30 в ауд.в1309),Программная инженерия Кугуракова В.В. в 109 к.2,,,,,,,,,,,,,Теория информации и кодирования Малахов М.А.1307,Теория систем и системный анализ Каюмова А.В.1408,,,,,,,,13.40-15.10,,,1409-М.Ф. м.м.
,15.20-16.50,,,,,,,,,,"Курс по выбору: "" Основы компьютерной графики и графические форматы"" Низамутдинов А.Р. 1408,  ""Введение в интернет-программирование"" Абрамский М.М. 1409.,  Бажанов В.А. 1301. Григорьева Е.1508 , ""Введение в разработку мобильных приложений"" Шахова И.С. 1412 (ios), ""Введение в программирование на С++"" Лавренов Р.О. 1404. "" Введение в разработку корпоративных приложений "" Сидиков М.Р. 1303, Аршинов М. 1304",,,,,,,,Интернет- программирование д.гл. Ференец А.А. 1302  (Lamp),,,,,,,,,,,,,Теория систем и системный анализ Каюмова А.В.1405,Теория информации и кодирования Малахов М.А.1307,,,,,,,,15.20-16.50,,,1310-собр.
,17.00-18.30,"Soft skills ""Краткий курс молодого бойца "" в 109 к.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00-18.30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.40-20.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.40-20.10,,,
,20.20-21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.20-21.50,,,
,17.00-18.30,,,,,,,,,,"Курс по выбору: "" Основы компьютерной графики и графические форматы"" Низамутдинов А.Р. 1408,  ""Введение в интернет-программирование"" Абрамский М.М. 1409.,  Бажанов В.А. 1301. Григорьева Е.1508 , ""Введение в разработку мобильных приложений"" Шахова И.С. 1412 (ios), ""Введение в программирование на С++"" Лавренов Р.О. 1404. "" Введение в разработку корпоративных приложений "" Сидиков М.Р. 1303, Аршинов М. 1304",,,,,,,,Интернет- программирование д.гл. Ференец А.А. 1302 (Lamp),,,,,,,,Теория систем и системный анализ Фазылов Валерий Рауфович в 108 к.2,,,,,,,,Научно-исследовательская работа  Малахов М.А.(18ч.) 1307.(с 9.10.17г.по 4.12),,Научно-исследовательская работа  Малахов М.А.(18ч.) 1307 ч.н.(с 9.10),Научно-исследовательская работа Елизаров  А.М. 1509(18ч.) с 9.10-4.12,Курс по выбору : Методы разработки программного обеспечения Тутубалина Е.В. 1310. Организационное управление и управление инфраструктурой Моисеев Г.В.1308,,17.00-18.30,,,
,18.40-20.10,,,,,,,,,,,,,,,,,,,,,,,,,,Проектный практикум.,,,,,,,,"Проектный практикум Новиков П.А.1509  ,Абрамский М.М.1409, Гайсин Р.Р. 1310(18.09-перенос на 21.09 , 25.09 на 28.09, 2.10 на 5.10, 9.10 на 12.10 , 16.10 на 19.10 в 1308) с1 по 9 неделю",,,,Методы определения требований в программной инженерии Сабирзянов Р.Р.1309,,18.40-20.10,,,
